CUSTOMRECORD_4572	4572 Custom Record
CUSTOMRECORD_BDW_SUITEAPP_FLDR_CLN	BDW SuiteApp Folder Cleanup
CUSTOMRECORD_BDW_WORKFLOW_CREATION	BDW Workflow Creation
CUSTOMRECORD_BG_PROCINSTANCE	BG Process Instance
CUSTOMRECORD_BG_PROCLOG	BG Process Log
CUSTOMRECORD_BG_QUEUEINSTANCE	BG Queue Instance
CUSTOMRECORD_BG_SUMMARYRECORD	BG Summary Records
CUSTOMRECORD_JP_MIGRATION_STATUS	Batch Migration Status
CUSTOMRECORD_BOL_PREFERENCES	Bill of Lading Preferences
CUSTOMRECORD_BL001_ACCOUNT_KEY_FIELD	BlackLine Account Key Fields
CUSTOMRECORD_BL001_NSCONNECTOR_EXPORTLOG	BlackLine Data Conn Export Log
CUSTOMRECORD_BL004_JOURNAL_LOG	BlackLine Data Connect Journal API Log
CUSTOMRECORD_BL001_NSCONNECTOR_STATUS	BlackLine Data Connect Profile
CUSTOMRECORD_BL001_CONNECTOR_SETUP	BlackLine Data Connect Setup
CUSTOMRECORD_BL001_PERSIST_SEARCH_RUN_LG	BlackLine Persist Search Run Log
CUSTOMRECORD_BL001_PROXY_RECORD	BlackLine Web Service Script
CUSTOMRECORD_BL001_NSCONNECTOR_QUERY	Blackline Data Connect Temp Queries
CUSTOMRECORD_CU_BULK_INV_CHARGE_DETAIL	Bulk Invoice Charge Detail
CUSTOMRECORD_CU_BULK_INV_CHARGE_LINE	Bulk Invoice Charge Line
CUSTOMRECORD_CU_CORE_WH_REQ_AUDIT	CORE Webhook Request Audit
CUSTOMRECORD_CU_SLACK_CHANNEL	CU - Slack Channel
CUSTOMRECORD_CU_SN_NOTIFICATION	CU - Slack Notification
CUSTOMRECORD_CU_ERROR_LOG	CU CSV Processing Error Log
CUSTOMRECORD_CU_CSV_TF_CONFIG	CU CSV Transform Configuration
CUSTOMRECORD_CU_CSV_TF_RESULT	CU CSV Transform Processing Result
CUSTOMRECORD_CU_PDN_QUERY_CONFIG	CU PDN Query Configuration
CUSTOMRECORD_CU_PDN_SEND_BATCH	CU PDN Send Batch
CUSTOMRECORD_CU_PDN_SEND_LOG	CU PDN Send Log
CUSTOMRECORD_CU_S3_CONFIG	CU S3 File Processing Configuration
