CUSTOMRECORD_4572	4572 Custom Record
CUSTOMRECORD_FILING_TEMPLATE	Online Filing Template
CUSTOMRECORD_OB_ORG_TREE	Org Browser Tree
CUSTOMRECORD_PT_MR_TASK_SUMMARY	PT SAFT Scheduled Task Summary
CUSTOMRECORD_PT_TAXONOMY_REFERENCE	PT Taxonomy Reference
CUSTOMRECORD_PACKSHIP_AUTOGENERATE_TYPES	PackShip - Autogenerated ID Format
CUSTOMRECORD_PACKSHIP_CARRIERS	PackShip - Carrier
CUSTOMRECORD_PACKSHIP_CARRIER_SERVICES	PackShip - Carrier Service
CUSTOMRECORD_PACKSHIP_CARTON_ORDER_MAP	PackShip - Carton-Order Id Map
CUSTOMRECORD_PACKSHIP_COMPANY_DETAILS	PackShip - Company Details
CUSTOMRECORD_PACKSHIP_DIMENSION_UNITS	PackShip - Dimension Unit
CUSTOMRECORD_PACKSHIP_CUST_ENCRYP_KEY	PackShip - Encryption Key
CUSTOMRECORD_PACKSHIP_GROUP_TYPE	PackShip - Group Type
CUSTOMRECORD_PACKSHIP_LHS_VALUE_TYPE	PackShip - LHS Value Type
CUSTOMRECORD_PACKSHIP_LIST_PRINT_PARENT	PackShip - List Print Parent Record
CUSTOMRECORD_PACKSHIP_CARTON	PackShip - Pack Carton
CUSTOMRECORD_PACKSHIP_PACKAGE	PackShip - Package
CUSTOMRECORD_PACKSHIP_CARTONITEM	PackShip - Packed Item
CUSTOMRECORD_PACKSHIP_CARTONITEMDETAILS	PackShip - Packed Item Details
CUSTOMRECORD_PACKSHIP_SHIPUNITTYPE	PackShip - Packing Item
CUSTOMRECORD_PACKSHIP_PALLET	PackShip - Pallet
CUSTOMRECORD_PRINT_CARRIERINFO	PackShip - Print Carrier Information
CUSTOMRECORD_PACKSHIP_PRINT_CART_AND_ITM	PackShip - Print Carton And Items
CUSTOMRECORD_PACKSHIP_ORDERINFO	PackShip - Print Customer Order Info
CUSTOMRECORD_PACKSHIP_PRINT_ITMS_IN_CART	PackShip - Print Items In Cartons
CUSTOMRECORD_PRINTING_DATA	PackShip - Printed Shipping Data
CUSTOMRECORD_PACKSHIP_RULE	PackShip - Rule
CUSTOMRECORD_PACKSHIP_RULE_CONDITION	PackShip - Rule Condition
CUSTOMRECORD_PACKSHIP_RULE_DATATYPE	PackShip - Rule Data Type
CUSTOMRECORD_PACKSHIP_RULE_ENABLE_OPTION	PackShip - Rule Enable Options
CUSTOMRECORD_PACKSHIP_RULE_GROUP	PackShip - Rule Group
CUSTOMRECORD_PACKSHIP_RG_TYPE	PackShip - Rule Group Type
CUSTOMRECORD_PACKSHIP_RG_VAL_SOURCE	PackShip - Rule Group Value Source
CUSTOMRECORD_PACKSHIP_RULE_LHS	PackShip - Rule LHS
CUSTOMRECORD_PACKSHIP_RULE_OPERATORS	PackShip - Rule Operator
CUSTOMRECORD_PACKSHIP_SHIPMANIFEST	PackShip - Shipment
CUSTOMRECORD_PACKSHIP_CUSTOMER_API_KEY	PackShip - Shipping API Key
CUSTOMRECORD_PACKSHIP_SHIPPING_COST_DIST	PackShip - Shipping Cost Distribution
CUSTOMRECORD_PACKSHIP_WEIGH_SCALE_UNITS	PackShip - Weight Unit
CUSTOMRECORD_AUTO_PRINTRULEDATA	PackShip Auto Printing Rule data
CUSTOMRECORD_PACKSHIP_LOCKRECORD	PackShip Lock Record
CUSTOMRECORD_CU_PACKING_SLIP_MANIFEST	Packing Slip Manifest
CUSTOMRECORD_CUT_OFF_DATE	Payment Due Date
CUSTOMRECORD_JP4030_DUEMONTH	Payment Due Month
CUSTOMRECORD_SUITEL10N_JP_PAYMENT_TERM	Payment Term
CUSTOMRECORD_CU_PP_ARCHIVAL_CONFIG	PowerPack Archival Configuration
CUSTOMRECORD_PP_SERIAL_NUMBER	PowerPack Serial Number
CUSTOMRECORD_PP_BATCH_SERIAL_NUMBER	PowerPack Serial Number Batch
CUSTOMRECORD_EDP_PRICE_DETAIL_UPDATE	Price Detail Update
CUSTOMRECORD_EDP_PRICE_UPDATE	Price Update
CUSTOMRECORD_EDP_ERROR_LOGS	Price Update Error Messages
CUSTOMRECORD_EDP_PRICE_UPDATE_SYS_NOTES	Price Update Logs
CUSTOMRECORD_PRINT_APIKEY_HANDLE	Print - API Key Handle
CUSTOMRECORD_PRINT_ACCOUNT_PREFERENCE	Print - Account Preference
CUSTOMRECORD_PRINT_ACOUNT_PREFERENCE_KEY	Print - Account Preference Key
CUSTOMRECORD_PRINT_WHITELIST_IP_ADDRESS	Print - Allowlist Ip Address
CUSTOMRECORD_PRINT_AUDIT	Print - Audit
CUSTOMRECORD_PRINT_DATA_TYPE	Print - Data Type
CUSTOMRECORD_PRINT_FILESERVING_MAP	Print - File Service Map
CUSTOMRECORD_PRINT_FUNCTION_REGISTRY	Print - Function Registry
CUSTOMRECORD_PRINT_OPERATOR	Print - Operator
CUSTOMRECORD_PRINT_PRINTER_TYPE	Print - Printer Type
CUSTOMRECORD_PRINT_PRINTERS	Print - Printers
CUSTOMRECORD_PRINT_REPORT_TYPE	Print - Report Type
CUSTOMRECORD_PRINT_CRITERIA_DETAIL	Print - Rule Criteria
CUSTOMRECORD_PRINT_RULE_GROUP	Print - Rule Group
CUSTOMRECORD_PRINT_RULE_MAPPINGS	Print - Rule Mappings
CUSTOMRECORD_PRINT_RULE_VALUES	Print - Rule Values
CUSTOMRECORD_PRINT_SESSION_PRINTER	Print - Session Printer
CUSTOMRECORD_PRINT_PRINTSTATUS	Print - Status
CUSTOMRECORD_PRINT_TEMPLATES	Print - Templates
CUSTOMRECORD_CU_PROSHIP_SHIPMENTS_BATCH	ProShip Shipments Batch
CUSTOMRECORD_CU_PROSHIP_SHIPMENTS_DETAIL	ProShip Shipments Detail
CUSTOMRECORD_CU_PROJECT_CODE	Project Code
CUSTOMRECORD_CU_REFUND_ALLOC	Refund Allocation
CUSTOMRECORD_REGIME_CODE	Regime Code
CUSTOMRECORD_CU_REJECT_REASON	Rejection Reason
CUSTOMRECORD_REPORT_PREFERENCES_MAPPING	Report Preferences Mapping
CUSTOMRECORD_TAF_REPORT_TASK	Report Task
CUSTOMRECORD_TSS_ROLES_PER_SKYDOC_V2	Roles Permission SkyDoc
CUSTOMRECORD_SCM_DPS_TASKVIEW	SCM DPS Task View
CUSTOMRECORD_SCM_DPS_USERDISPLAY	SCM DPS User Display
CUSTOMRECORD_SCM_PREFERENCES	SCM Preferences
CUSTOMRECORD_SCM_PRINTREPORTLOG	SCM Print Report Log
CUSTOMRECORD_SII_LIST_VAL	SII List Values
CUSTOMRECORD_SII_REG_ERROR_CODES	SII Registration Error Codes
CUSTOMRECORD_STC_CONFIG_FIELDS	STC Config Fields
CUSTOMRECORD_STC_CONFIG_VALUES	STC Config Values
CUSTOMRECORD_STC_NEXUS_CONFIGURATION	STC Nexus Configuration
CUSTOMRECORD_STC_PPD_QUEUE	STC Prompt Payment Discount Queue
CUSTOMRECORD_CU_SF_INTEGRATE_TOKEN	SalesForce Integration Token
CUSTOMRECORD_PACKING_ROLE	Ship Central Packing
CUSTOMRECORD_PACKSHIP_SHIPPREFERENCE	Ship Central Preferences
CUSTOMRECORD_SHIPPING_ROLE	Ship Central Shipping
CUSTOMRECORD_PACKSHIP_LOG_TRANSACTIONS	ShipCentral - API Log Transactions
CUSTOMRECORD_SHIPCENTRALCOUNTRY	ShipCentral Country
CUSTOMRECORD_PACKSHIP_CONTENTS	Shipment Contents
CUSTOMRECORD_PACKSHIP_LABEL_REFERENCE	Shipping Label Reference
CUSTOMRECORD_TSS_SKYDOC_MIGRATION_ERRORS	SkyDoc Auto Upload Errors
CUSTOMRECORD_TSS_SKYDOC_MIGRATION_STATS	SkyDoc Auto Upload Stats
CUSTOMRECORD_TSS_AWS_TO_NS_FOLDER	SkyDoc Folders
CUSTOMRECORD_TSS_AWS_S3_NS_FILE_RECORD	SkyDoc: File
CUSTOMRECORD_TSS_SKYDOC_AUTO_UPLOAD	Skydoc Auto Upload
CUSTOMRECORD_SKYDOC_EXTERNALEMAIL_UPLOAD	Skydoc External Upload Email
CUSTOMRECORD_CUSTBOL_STANDALONE_REC_TYPE	Standalone Record Type
CUSTOMRECORD_STATUTORY_COA	Statutory Chart of Accounts
CUSTOMRECORD_CU_STRIPE_PAYMENT_METHOD	Stripe Payment Method
CUSTOMRECORD_TAF_SEARCH_TASK	Sub Search Task Record
CUSTOMRECORD_SUBNAV_SETTINGS	SubNav - Settings
CUSTOMRECORD_SUITEL10N_JP_SUB_NON_OP_DAY	Subsidiary Holiday
CUSTOMRECORD_ATLAS_FINWORKBOOK_STRINGS	SuiteSuccess FinWB Strings
CUSTOMRECORD_ATLAS_PROWORKBOOK_STRINGS	SuiteSuccess Proc WB Strings
CUSTOMRECORD_TAF_JOB	TAF Job
CUSTOMRECORD_MAPPER_KEYVALUE	TAF Mapping
CUSTOMRECORD_MAPPER_CATEGORY	TAF Mapping Category
CUSTOMRECORD_MAPPER_FILTER	TAF Mapping Filter
CUSTOMRECORD_MAPPER_VALUES	TAF Mapping Value
CUSTOMRECORD_NORWAY_MAPPER_KEYVALUE	TAF Norway Mapping
CUSTOMRECORD_TAF_REPORT_THRESHOLD	TAF Report Threshold Configuration
CUSTOMRECORD_TAF_SETUPCONFIG	TAF Setup Configuration Fields
CUSTOMRECORD_TAF_CONFIGURATION	Tax Audit Files Configuration
CUSTOMRECORD_TAX_CACHE	Tax Cache
CUSTOMRECORD_TAX_CACHE_DETAIL	Tax Cache Detail
CUSTOMRECORD_4572_TAX_CATEGORY	Tax Category
CUSTOMRECORD_TAX_FIELD_NOTATION	Tax Field Notation
CUSTOMRECORD_TAX_FIELD	Tax Field Schema
CUSTOMRECORD_TAX_FORM	Tax Form Schema
CUSTOMRECORDPACKSHIP_TAX_ID_TYPE	Tax Id Type
CUSTOMRECORD_PACKSHIP_TAXIDS	Tax Identifiers
CUSTOMRECORD_TAX_REPORT_MAP_OPTION	Tax Report Map Option
CUSTOMRECORD_TAX_REPORT_MAP	Tax Report Mapper
CUSTOMRECORD_TAX_REPORT_MAP_DETAILS	Tax Report Mapper Details
CUSTOMRECORD_TAX_TEMPLATE	Tax Report Template
CUSTOMRECORD_TEMPLATE_ATTACHMENT	Tax Template Attachment
CUSTOMRECORD_TEMPLATE_CONTENT	Tax Template Content
CUSTOMRECORD_PACKSHIP_TAXABLE_ENTITY	Taxable Entity
CUSTOMRECORD_CU_TAXES_BY_BUISINESS	Taxes By Business
CUSTOMRECORD_CU_TAXES_MATRIX_MAIN	Taxes Matrix
CUSTOMRECORD_PACKSHIP_CUST_3RDPARTY_ACC	Third-Party Billing Accounts
CUSTOMRECORD_CU_TOKEN_SERVICE_PROVIDER	Token Service Provider
CUSTOMRECORD_INTRASTAT_REGION	Transaction Region
CUSTOMRECORD_TRANTYPELIST	Transaction Type List
CUSTOMRECORD_SHIPCOUNTRY_UOM	Unit Conversion per Country
CUSTOMRECORD_TAX_RETURN_SETUP_ITEM	VAT Online Configuration
CUSTOMRECORD_VATONLINE_DETAIL	VAT Online Submitted Detail
CUSTOMRECORD_VATONLINE_SUBMITTEDPERIOD	VAT Online Submitted Periods
CUSTOMRECORD_ATLAS_VENDOR_CERT_REC	Vendor Certification
CUSTOMRECORD_CU_VENDOR_ITEM_PRICE	Vendor Item Price
CUSTOMRECORD_CU_VENDOR_NOTE	Vendor Notes
CUSTOMRECORD_CU_EBAY_DISPUTE_HOLDS	eBay Dispute/Holds
CUSTOMRECORD_CU_EBAY_INTEGRATE_TOKEN	eBay Integration Token
CUSTOMRECORD_CU_EBAY_OTHER_FEES	eBay Other Fees
CUSTOMRECORD_CU_EBAY_PAY	eBay Payments
CUSTOMRECORD_CU_EBAY_PAY_LISTING_DETAIL	eBay Payments Listing Detail
CUSTOMRECORD_CU_EBAY_REFUND_CREDITS	eBay Refunds/Credits
